Rank,Nome,Index,Sust,Cost
179,Syrian Arab Republic,42.6,Low,Low
180,Swaziland,40.4,Low,Medium
181,Ethiopia,39.7,Low,High
182,Burundi,38.6,Low,Low
183,Afghanistan,38.1,Low,Low
184,Equatorial Guinea,37.9,Medium,Very high
185,Sudan,37,Low,Medium
186,Liberia,36.8,Low,Very high
187,Turkmenistan,36.7,Medium,Very high
188,Angola,36.4,Low,Very high
189,Chad,35.8,Low,Medium
190,Congo,35.6,Low,Very high
191,Haiti,34.8,Low,Very high
192,Djibouti,34.7,Low,Very high
193,Eritrea,34.6,Low,Medium
194,Yemen,34.3,Low,High
195,Somalia,33.6,Low,Medium
196,Central African Republic,29.9,Low,Medium
