country,unesco_props,safety_index,quality_of_life,total_population,code,GDP,pop_0_14_%,pop_0_14_%_female,pop_0_14_%_male,pop_15_64_%,pop_15_64_%_female,pop_15_64_%_male,pop_65_plus_%,pop_65_plus_%_female,pop_65_plus_%_male,continent,female_population,male_population,average_cost_rich,average_cost_medium,average_cost_lower,cost_average,meals,market,transports,telecommunications,accomodation
Aruba,,,,106537.0,ABW,2.52,16.79940678,15.5593428,18.19069054,67.65709405,67.55518867,67.7714263,15.54349918,16.88546854,14.03788316,North America,56330.0,50207.0,1017.21,734.1100000000001,661.15,804.1566666666668,36.443333333333335,5.970000000000001,16.240000000000002,34.12,23.012451949929364
Australia,20.0,56.2,78.9,25688079.0,AUS,1483.0,18.37332915,17.75301502,19.00259008,65.05751552,64.78620166,65.33274255,16.56915533,17.46078331,15.66466737,Oceania,12936002.0,12752077.0,1442.6445563246282,1022.6192095211004,968.2178443377352,1144.493870061155,37.000121212121215,9.922039875093724,7.132781908439052,26.016666666666662,35.479010968976745
Austria,12.0,73.9,81.2,8955797.0,AUT,436.1,14.38549321,13.75969811,15.03122046,66.17334945,64.65665255,67.73835457,19.44115734,21.58364933,17.23042497,Europe,4548093.0,4407703.0,892.0471478521478,669.5895336330336,638.893141858142,733.5099411144411,35.15857142857143,3.5028846153846156,9.568545454545454,17.122027972027972,21.767839286361152
Azerbaijan,3.0,67.7,56.9,10137750.0,AZE,77.91,23.92495311,22.017505,25.88282545,69.35846067,70.08516273,68.61254791,6.716586224,7.897332268,5.504626635,Asia,5135000.0,5002750.0,210.56027272727275,132.98706313131314,112.53465909090907,152.02733164983167,14.077468013468014,1.9168181818181818,1.6047272727272728,7.10859090909091,4.1161867135394425
Bahamas,0.0,37.5,63.6,407906.0,BHM,8.65,,,,,,,,,,,,,1395.78,1083.68,1008.3,1162.5866666666668,55.333333333333336,7.895,8.4,46.515,32.854749153990205
Bahrain,3.0,75.6,53.3,1463265.0,BHR,34.05,20.37719744,26.35237714,16.7301033,76.1340987,69.39666364,80.24645367,3.488703861,4.250959222,3.023443033,Asia,554616.0,908649.0,1149.0,636.7699999999999,564.4666666666666,783.4122222222222,21.925555555555558,8.909166666666668,5.853333333333333,28.218333333333334,24.887472484147583
Bangladesh,3.0,36.6,56.1,169356251.0,BGD,186.6,26.45298372,25.73653164,27.18103639,67.71990424,68.21327017,67.21854986,5.827112044,6.050198187,5.600413752,Asia,85358163.0,83998088.0,133.25308333333334,97.91203030303032,55.13401515151515,95.43304292929294,7.251338383838383,2.5655,2.0207954545454543,15.318181818181817,2.1345419400828933
Barbados,1.0,53.4,63.8,281200.0,BRB,4.28,17.16219268,16.18852739,18.21913694,67.1222744,66.63842696,67.647506,15.71553292,17.17304565,14.13335707,North America,146366.0,134833.0,786.29,501.28,459.37,582.3133333333334,51.60999999999999,6.7525,13.849999999999998,25.185,14.784637119295594
Belarus,4.0,41.6,59.9,9340314.0,BLR,75.25,16.84033506,15.27401905,18.6720761,66.33049589,64.04835563,68.99936342,16.82916905,20.67762532,12.32856048,Europe,5034947.0,4305368.0,318.7862878787878,183.0762121212121,173.36340909090907,225.075303030303,19.46429292929293,2.303125,2.2891666666666666,6.646818181818182,6.278268773751246
Belgium,15.0,54.6,77.1,11592952.0,BEL,527.8,16.68811036,16.10657705,17.28401552,63.89481923,62.55253805,65.27027322,19.41707041,21.3408849,17.44571126,Europe,5867228.0,5725724.0,1000.0404223921872,720.3073576721977,673.8484011125787,798.0653937256546,41.78964912280701,4.0889736895986895,9.539789272030651,24.645214285714285,23.197974717137605
Belize,1.0,48.5,64.3,400031.0,BLZ,1.67,28.23568673,27.76627825,28.69942678,66.80844735,67.19198392,66.42954224,4.95586592,5.041737823,4.871030982,North America,198800.0,201231.0,524.795,363.124,274.791,387.57,18.91933333333333,5.803375,6.4415,37.545,9.902092847521109
Benin,2.0,,56.8,12996895.0,BEN,9.24,42.57800421,42.07572962,43.07854066,54.34561101,54.50253145,54.18923359,3.076384783,3.421738924,2.732225747,Africa,6487184.0,6509711.0,311.93999999999994,218.09,159.58999999999995,229.8733333333333,14.19,1.615,4.73,23.645,5.673686631402569
Bermuda,,,,63867.0,BMU,5.2,14.89834073,14.06877869,15.78845377,65.42026953,63.91150576,67.03916027,19.68138973,22.01971555,17.17238595,North America,33057.0,30809.0,3755.08,2256.08,2117.9,2709.6866666666665,79.33333333333333,12.4225,12.75,71.2,87.06508525807405
Bhutan,0.0,,60.1,777486.0,BTN,2.09,22.80271104,23.49364985,22.18872709,71.06104093,69.93135931,72.06490174,6.136248025,6.574990842,5.74637117,Asia,365818.0,411668.0,206.5833333333333,132.77166666666668,99.2,146.185,10.256666666666666,2.565833333333333,3.965,9.928333333333331,3.833820678779117
Bolivia,7.0,41.7,64.4,12079472.0,BOL,34.08,31.1219853,30.647741,31.59328466,63.96785803,63.78652782,64.14806223,4.910156669,5.565731179,4.258653106,South America,6020925.0,6058547.0,419.4125,279.32366666666667,210.5963333333333,303.11083333333335,10.604666666666667,2.4995833333333333,2.3949999999999996,26.943333333333335,8.475416433945526
Bosnia And Herzegovina,4.0,57.8,60.6,3270943.0,BIH,19.55,14.91930615,14.36009864,15.49608969,66.93747033,65.36283802,68.56159375,18.14322353,20.27706334,15.94231656,Europe,1660775.0,1610168.0,245.9513461538461,160.4200256410256,133.21566666666664,179.86234615384612,12.989230769230767,2.4328846153846153,3.6809615384615384,11.888749999999998,4.675980988051823
Botswana,2.0,47.6,55.7,2588423.0,BWA,16.3,32.91477089,32.08662168,33.7642782,63.49275215,63.68498834,63.29555816,3.592476964,4.228389975,2.940163649,Africa,1310688.0,1277735.0,320.4383333333333,208.025,178.695,235.71944444444443,19.87611111111111,2.8716666666666666,1.7966666666666669,16.633333333333333,5.9780858823142875
Brazil,23.0,33.0,74.0,214326223.0,BRA,2244.0,20.54066758,19.78747627,21.32063865,69.87826753,69.44609416,70.32580686,9.581064889,10.76642957,8.353554497,South America,109034931.0,105291292.0,328.29360585112585,205.4031564040772,176.18003100124955,236.62559775215087,14.797412061092743,2.5883967994870836,3.302796727053801,9.39983815789474,6.576643258387252
British Virgin Islands,,,,31122.0,VGB,1.1,15.21271127,14.31889264,16.17642149,75.32131611,75.8988016,74.6986745,9.465972624,9.782305763,9.12490401,North America,16146.0,14976.0,,,,,41.666666666666664,5.133333333333334,56.14,52.885,53.66264743568682
Brunei,0.0,71.0,57.8,,BRN,17.43,22.34643771,22.30018332,22.38957522,71.84292716,71.29377169,72.35507765,5.810635131,6.406044984,5.255347124,Asia,214922.0,230451.0,869.7599999999999,588.265,491.36,649.795,15.15,3.6775,4.8100000000000005,40.550000000000004,19.552354042776884
Bulgaria,10.0,61.3,67.8,6877743.0,BGR,55.08,13.99472906,13.19334986,14.8458227,63.58415988,60.69826596,66.64908342,22.42111107,26.10838418,18.50509388,Europe,3542329.0,3335414.0,315.42831362889984,199.33253246753245,186.811,233.8572820321441,17.8724126984127,2.2758333333333334,3.1035423197492165,5.522345238095237,6.6237051708681625
Burkina Faso,3.0,,54.3,22100683.0,BFA,13.38,44.0909599,43.24145675,44.94658036,53.36183381,53.73050516,52.99050764,2.547206289,3.028038088,2.062912,Africa,11089986.0,11010698.0,510.33,218.61,172.23999999999995,300.3933333333334,9.96,2.235,1.85,18.045,9.335348424614777
Burundi,0.0,,38.6,12551213.0,BDI,3.04,46.29346184,45.73079173,46.86404507,51.23035519,51.46671526,50.99067105,2.476182979,2.802493011,2.145283872,Africa,6319427.0,6231786.0,377.96,132.53,102.3,204.2633333333333,10.53,5.9575,2.38,11.565,6.216939908663797
Cambodia,3.0,49.3,45.9,16589023.0,KHM,16.9,29.29933157,28.25439385,30.36525026,65.16847722,65.07386246,65.26499172,5.532191211,6.67174369,4.36975802,Asia,8376956.0,8212068.0,496.6529007936508,295.718,251.33922222222225,347.9033743386244,14.097037037037039,3.3197222222222225,3.451916666666667,17.1615,10.549026326041144
Cameroon,2.0,33.4,44.7,27198628.0,CMR,32.16,42.43051341,42.02275473,42.84038134,54.86784848,55.03215342,54.70269362,2.701638112,2.945091849,2.456925038,Africa,13634397.0,13564231.0,201.2640476190476,124.0520476190476,77.41309523809525,134.2430634920635,10.21190476190476,2.015833333333333,2.9937142857142858,20.517023809523806,2.8686029065501417
Canada,20.0,57.1,83.2,38246108.0,CAN,1794.0,15.73336814,15.28422549,16.18807768,65.74534821,64.88098779,66.62042196,18.52128365,19.83478671,17.19150036,North America,19240835.0,19005273.0,1323.926542191503,1099.5687188139475,1035.1631349437985,1152.886131983083,37.0338074981201,7.0614148511910795,6.8791610807679575,31.928004146568504,34.433672251846865
Cape Verde,1.0,,58.2,587925.0,CPV,1.98,26.61351363,26.09204599,27.14075346,67.94582642,66.80345963,69.10083822,5.440659948,7.104494376,3.758408316,Africa,295580.0,292344.0,,,,,15.299999999999999,3.42,3.4,61.66,4.835890527975819
