Puerto Rico,PRI,1722030
"Korea, Dem. People's Rep.",PRK,13127524
Portugal,PRT,5453881
Paraguay,PRY,3338534
West Bank and Gaza,PSE,2467389
Pacific island small states,PSS,1289709
Post-demographic dividend,PST,568600159
French Polynesia,PYF,150255
Qatar,QAT,734561
Romania,ROU,9875794
Russian Federation,RUS,76824577
Rwanda,RWA,6879649
South Asia,SAS,928581582
Saudi Arabia,SAU,15184150
Sudan,SDN,22842482
Senegal,SEN,8579664
Singapore,SGP,2601057
Solomon Islands,SLB,346168
Sierra Leone,SLE,4201801
El Salvador,SLV,3307476
San Marino,SMR,17326
Somalia,SOM,8509953
Serbia,SRB,3558849
Sub-Saharan Africa (excluding high income),SSA,592621704
South Sudan,SSD,5427688
Sub-Saharan Africa,SSF,592668662
Small states,SST,20628937
Sao Tome and Principe,STP,111802
Suriname,SUR,307598
Slovak Republic,SVK,2787545
Slovenia,SVN,1048601
Sweden,SWE,5169131
Eswatini,SWZ,600441
Sint Maarten (Dutch part),SXM,19914
Seychelles,SYC,46958
Syrian Arab Republic,SYR,10643230
Turks and Caicos Islands,TCA,22385
Chad,TCD,8556210
East Asia & Pacific (IDA & IBRD countries),TEA,1033239264
Europe & Central Asia (IDA & IBRD countries),TEC,240226601
Togo,TGO,4299551
Thailand,THA,36807094
Tajikistan,TJK,4843921
Turkmenistan,TKM,3200126
Latin America & the Caribbean (IDA & IBRD countries),TLA,324233250
Timor-Leste,TLS,647343
Middle East & North Africa (IDA & IBRD countries),TMN,204618405
Tonga,TON,53578
South Asia (IDA & IBRD),TSA,928581582
Sub-Saharan Africa (IDA & IBRD countries),TSS,592668662
Trinidad and Tobago,TTO,772874
Tunisia,TUN,6205901
Turkiye,TUR,42285574
Tuvalu,TUV,5449
Tanzania,TZA,32170681
Uganda,UGA,23153140
Ukraine,UKR,23524526
Upper middle income,UMC,1248357057
Uruguay,URY,1766768
United States,USA,167480460
Uzbekistan,UZB,17446107
St. Vincent and the Grenadines,VCT,51123
"Venezuela, RB",VEN,14243056
British Virgin Islands,VGB,16146
Virgin Islands (U.S.),VIR,56360
Vietnam,VNM,49331842
Vanuatu,VUT,158631
World,WLD,3922276273
Samoa,WSM,107213
Kosovo,XKX,895801
"Yemen, Rep.",YEM,16313210
South Africa,ZAF,30497646
Zambia,ZMB,9864121
Zimbabwe,ZWE,8449834
