Puerto Rico,PRI,1541554
"Korea, Dem. People's Rep.",PRK,12844385
Portugal,PRT,4871266
Paraguay,PRY,3365265
West Bank and Gaza,PSE,2455361
Pacific island small states,PSS,1312463
Post-demographic dividend,PST,548196087
French Polynesia,PYF,153778
Qatar,QAT,1953675
Romania,ROU,9244086
Russian Federation,RUS,66624709
Rwanda,RWA,6582239
South Asia,SAS,973330021
Saudi Arabia,SAU,20766246
Sudan,SDN,22814719
Senegal,SEN,8297057
Singapore,SGP,2852509
Solomon Islands,SLB,361683
Sierra Leone,SLE,4218841
El Salvador,SLV,3006692
San Marino,SMR,16419
Somalia,SOM,8555628
Serbia,SRB,3275476
Sub-Saharan Africa (excluding high income),SSA,588441779
South Sudan,SSD,5320584
Sub-Saharan Africa,SSF,588494078
Small states,SST,22163111
Sao Tome and Principe,STP,111305
Suriname,SUR,305387
Slovak Republic,SVK,2659702
Slovenia,SVN,1059477
Sweden,SWE,5246680
Eswatini,SWZ,591831
Sint Maarten (Dutch part),SXM,22932
Seychelles,SYC,52299
Syrian Arab Republic,SYR,10681137
Turks and Caicos Islands,TCA,22729
Chad,TCD,8623530
East Asia & Pacific (IDA & IBRD countries),TEA,1064429761
Europe & Central Asia (IDA & IBRD countries),TEC,222114619
Togo,TGO,4345278
Thailand,THA,34794010
Tajikistan,TJK,4906143
Turkmenistan,TKM,3141729
Latin America & the Caribbean (IDA & IBRD countries),TLA,314955451
Timor-Leste,TLS,673598
Middle East & North Africa (IDA & IBRD countries),TMN,208506047
Tonga,TON,52440
South Asia (IDA & IBRD),TSA,973330021
Sub-Saharan Africa (IDA & IBRD countries),TSS,588494078
Trinidad and Tobago,TTO,752789
Tunisia,TUN,6057044
Turkiye,TUR,42489829
Tuvalu,TUV,5755
Tanzania,TZA,31417653
Uganda,UGA,22700638
Ukraine,UKR,20268329
Upper middle income,UMC,1254779304
Uruguay,URY,1659492
United States,USA,164413285
Uzbekistan,UZB,17468992
St. Vincent and the Grenadines,VCT,53209
"Venezuela, RB",VEN,13956811
British Virgin Islands,VGB,14976
Virgin Islands (U.S.),VIR,49510
Vietnam,VNM,48136186
Vanuatu,VUT,160506
World,WLD,3966132418
Samoa,WSM,111550
Kosovo,XKX,890237
"Yemen, Rep.",YEM,16668432
South Africa,ZAF,28894608
Zambia,ZMB,9609004
Zimbabwe,ZWE,7543690
